filename,train error,top-1 error,top-5 error,mutual information,sample entropy,experts usage
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.01_100_20_models.pt,0.42038828134536743,0.48701173067092896,0.18056640624999998,1.1349987983703613,0.5357297420501709,1.341962218284607
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.01_100_20_models.pt,0.40173786878585815,0.45351558923721313,0.17412109374999996,0.553555965423584,0.1487787127494812,0.7720206379890442
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.01_100_20_models.pt,0.4042888879776001,0.4556640386581421,0.17275390624999998,0.37544727325439453,0.08131571412086487,0.46234428882598877
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.1_100_20_models.pt,0.43541133403778076,0.48916012048721313,0.20068359375,1.4402871131896973,0.6032682418823242,1.5348260402679443
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.1_100_20_models.pt,0.430835485458374,0.4893554449081421,0.19785156250000002,1.2214288711547852,0.4687182903289795,1.458579182624817
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.1_100_20_models.pt,0.410311758518219,0.47011715173721313,0.17626953125,0.5794835090637207,0.22275049686431886,0.7437757253646851
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.1_100_20_models.pt,0.412492036819458,0.4664062261581421,0.17978515625000002,1.1111788749694824,0.3781265735626221,1.211206316947937
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.1_100_20_models.pt,0.4191286563873291,0.4786132574081421,0.18837890624999998,1.278210163116455,0.45070953369140626,1.3109327554702759
cifar100_with_reg_sample_sim_same_0.0001_sample_sim_diff_1e-07_100_20_models.pt,0.42518335580825806,0.48701173067092896,0.19833984375000002,2.0686702728271484,0.7731575012207031,2.135540008544922
cifar100_with_reg_sample_sim_same_0.0001_sample_sim_diff_1e-07_100_20_models.pt,0.4298110604286194,0.4961913824081421,0.20849609375,2.6697874069213867,0.9331694602966308,2.6629858016967773
cifar100_with_reg_sample_sim_same_0.0001_sample_sim_diff_1e-07_100_20_models.pt,0.40555644035339355,0.4786132574081421,0.18837890624999998,2.6534571647644043,0.7654752731323242,2.3555729389190674
cifar100_with_reg_sample_sim_same_0.0001_sample_sim_diff_1e-07_100_20_models.pt,0.41715162992477417,0.49462890625,0.19296875000000002,2.475289821624756,0.7400046348571777,2.5279853343963623
cifar100_with_reg_sample_sim_same_0.0001_sample_sim_diff_1e-07_100_20_models.pt,0.41752636432647705,0.49560546875,0.19980468750000002,2.451234817504883,0.7990849018096924,2.499871015548706
cifar100_with_reg_sample_sim_same_0.0001_sample_sim_diff_1e-06_100_20_models.pt,0.4114795923233032,0.47255855798721313,0.18486328124999996,1.4877376556396484,0.4676051616668701,1.4775341749191284
cifar100_with_reg_sample_sim_same_0.0001_sample_sim_diff_1e-06_100_20_models.pt,0.4261559844017029,0.4912109375,0.19736328125000002,2.2473411560058594,0.8685344696044922,2.4427363872528076
cifar100_with_reg_sample_sim_same_0.0001_sample_sim_diff_1e-06_100_20_models.pt,0.41235649585723877,0.4756835699081421,0.18720703125000004,1.7108306884765625,0.6030699729919433,1.9794598817825317
